Model,Resampling,Accuracy,Precision,Recall,F1-Score,AUC-ROC,False Negatives,False Positives
Random Forest (RF),None,63.53,69.7,71.39,70.53,68.96,790,857
Support Vector Machine (SVM),None,62.25,62.97,92.86,75.05,69.75,197,1508
k-Nearest Neighbour (KNN),None,62.64,68.95,70.77,69.85,66.68,807,880
Naive Bayes (NB),None,61.23,61.35,98.84,75.71,50.6,32,1719
Multilayer Perceptron (MLP),None,64.88,70.71,72.65,71.67,69.91,755,831
Random Forest (RF),SMOTE-Tomek,64.55,71.32,70.26,70.79,69.94,821,780
Support Vector Machine (SVM),SMOTE-Tomek,61.91,79.9,50.38,61.79,70.75,1370,350
k-Nearest Neighbour (KNN),SMOTE-Tomek,62.13,70.08,66.43,68.2,66.86,927,783
Naive Bayes (NB),SMOTE-Tomek,61.29,61.36,99.09,75.79,50.58,25,1723
Multilayer Perceptron (MLP),SMOTE-Tomek,64.02,75.02,61.68,67.7,69.92,1058,567
XGBoost,None,65.59,66.88,86.6,75.47,75.25,370,1184
XGBoost,SMOTE-Tomek,68.02,77.33,67.48,72.07,75.73,898,546
